Detected	Gain	Correct Count	Step Size	Subject Number	Height	Age	Sex	RA Name	Other
True	-0.0001	1	0.05				Male		
True	9.5E-05	2	0.05				Male		
True	-8.999999E-05	3	0.05				Male		
True	8.499999E-05	4	0.05				Male		
True	-7.999999E-05	5	0.05				Male		
True	7.499999E-05	6	0.05				Male		
True	-6.999999E-05	7	0.05				Male		
True	6.499999E-05	8	0.05				Male		
True	-5.999999E-05	9	0.05				Male		
True	5.499999E-05	10	0.05				Male		
True	-6E-05	1	0.03				Male		
True	5.7E-05	2	0.03				Male		
True	-5.400001E-05	3	0.03				Male		
True	5.100001E-05	4	0.03				Male		
True	-4.800001E-05	5	0.03				Male		
True	4.500001E-05	6	0.03				Male		
True	-4.200001E-05	7	0.03				Male		
True	3.900001E-05	8	0.03				Male		
True	-3.600001E-05	9	0.03				Male		
True	3.300001E-05	10	0.03				Male		
True	-3.6E-05	1	0.018				Male		
True	3.42E-05	2	0.018				Male		
True	-3.24E-05	3	0.018				Male		
True	3.06E-05	4	0.018				Male		
True	-2.88E-05	5	0.018				Male		
True	2.7E-05	6	0.018				Male		
True	-2.52E-05	7	0.018				Male		
True	2.34E-05	8	0.018				Male		
True	-2.16E-05	9	0.018				Male		
True	1.979999E-05	10	0.018				Male		
True	-2.16E-05	1	0.0108				Male		
True	2.052E-05	2	0.0108				Male		
True	-1.944E-05	3	0.0108				Male		
True	1.836E-05	4	0.0108				Male		
True	-1.728E-05	5	0.0108				Male		
True	1.62E-05	6	0.0108				Male		
True	-1.512E-05	7	0.0108				Male		
True	1.404E-05	8	0.0108				Male		
True	-1.296E-05	9	0.0108				Male		
True	1.188E-05	10	0.0108				Male		
True	-1.296E-05	1	0.006480001				Male		
True	1.2312E-05	2	0.006480001				Male		
True	-1.1664E-05	3	0.006480001				Male		
True	1.1016E-05	4	0.006480001				Male		
True	-1.0368E-05	5	0.006480001				Male		
True	9.720001E-06	6	0.006480001				Male		
True	-9.072001E-06	7	0.006480001				Male		
True	8.424001E-06	8	0.006480001				Male		
True	-7.776001E-06	9	0.006480001				Male		
True	7.128001E-06	10	0.006480001				Male		
True	-7.776001E-06	1	0.003888001				Male		
True	7.387201E-06	2	0.003888001				Male		
True	-6.9984E-06	3	0.003888001				Male		
True	6.6096E-06	4	0.003888001				Male		
True	-6.2208E-06	5	0.003888001				Male		
True	5.832E-06	6	0.003888001				Male		
True	-5.4432E-06	7	0.003888001				Male		
True	5.0544E-06	8	0.003888001				Male		
True	-4.6656E-06	9	0.003888001				Male		
True	4.2768E-06	10	0.003888001				Male		
True	-4.665601E-06	1	0.002332801				Male		
True	4.432321E-06	2	0.002332801				Male		
True	-4.199041E-06	3	0.002332801				Male		
True	3.965761E-06	4	0.002332801				Male		
True	-3.732481E-06	5	0.002332801				Male		
True	3.499201E-06	6	0.002332801				Male		
True	-3.265921E-06	7	0.002332801				Male		
True	3.032641E-06	8	0.002332801				Male		
True	-2.799361E-06	9	0.002332801				Male		
True	2.566081E-06	10	0.002332801				Male		
False	-2.799361E-06	0	0.00139968				Male		
True	2.659393E-06	1	0.00139968				Male		
False	-2.519424E-06	1	0.00139968				Male		
True	2.379456E-06	2	0.00139968				Male		
True	-2.239488E-06	3	0.00139968				Male		
False	2.09952E-06	3	0.00139968				Male		
False	-1.959552E-06	3	0.00139968				Male		
True	1.819584E-06	4	0.00139968				Male		
True	-1.679616E-06	5	0.00139968				Male		
True	1.539648E-06	6	0.00139968				Male		
False	-2.799361E-06	0	0.00139968				Male		
False	2.659393E-06	0	0.00139968				Male		
True	-2.519424E-06	1	0.00139968				Male		
True	2.379456E-06	2	0.00139968				Male		
False	-2.239488E-06	2	0.00139968				Male		
